time(ms)	collision count
0,001311440	18,000000000
0,001311760	19,000000000
0,001312080	21,000000000
0,001312400	19,000000000
0,001312720	19,000000000
0,001313040	19,000000000
0,001313360	20,000000000
0,001313680	16,000000000
0,001314000	20,000000000
0,001314320	22,000000000
0,001314640	21,000000000
0,001314960	21,000000000
0,001315280	21,000000000
0,001315600	17,000000000
0,001315920	18,000000000
0,001316240	16,000000000
0,001316560	19,000000000
0,001316880	15,000000000
0,001317200	14,000000000
0,001317520	17,000000000
0,001317840	17,000000000
0,001318160	19,000000000
0,001318480	19,000000000
0,001318800	19,000000000
0,001319120	19,000000000
0,001319440	19,000000000
0,001319760	20,000000000
0,001320080	21,000000000
0,001320400	20,000000000
0,001320720	17,000000000
0,001321040	13,000000000
0,001321360	10,000000000
0,001321680	9,000000000
0,001322000	9,000000000
0,001322320	7,000000000
0,001322640	8,000000000
0,001322960	8,000000000
0,001323280	8,000000000
0,001323600	8,000000000
0,001323920	11,000000000
0,001324240	11,000000000
0,001324560	13,000000000
0,001324880	15,000000000
0,001325200	16,000000000
0,001325520	17,000000000
0,001325840	17,000000000
0,001326160	17,000000000
0,001326480	13,000000000
0,001326800	14,000000000
0,001327120	13,000000000
0,001327440	14,000000000
0,001327760	12,000000000
0,001328080	9,000000000
0,001328400	9,000000000
0,001328720	8,000000000
0,001329040	8,000000000
0,001329360	5,000000000
0,001329680	4,000000000
0,001330000	6,000000000
0,001330320	6,000000000
0,001330640	6,000000000
0,001330960	5,000000000
0,001331280	6,000000000
0,001331600	10,000000000
0,001331920	10,000000000
0,001332240	12,000000000
0,001332560	11,000000000
0,001332880	9,000000000
0,001333200	10,000000000
0,001333520	9,000000000
0,001333840	8,000000000
0,001334160	10,000000000
0,001334480	11,000000000
0,001334800	12,000000000
0,001335120	13,000000000
0,001335440	12,000000000
0,001335760	10,000000000
0,001336080	11,000000000
0,001336400	11,000000000
0,001336720	10,000000000
0,001337040	10,000000000
0,001337360	10,000000000
0,001337680	14,000000000
0,001338000	12,000000000
0,001338320	13,000000000
0,001338640	13,000000000
0,001338960	11,000000000
0,001339280	10,000000000
0,001339600	8,000000000
0,001339920	8,000000000
0,001340240	8,000000000
0,001340560	6,000000000
0,001340880	6,000000000
0,001341200	8,000000000
0,001341520	9,000000000
0,001341840	8,000000000
0,001342160	8,000000000
0,001342480	10,000000000
0,001342800	12,000000000
0,001343120	13,000000000
0,001343440	13,000000000
0,001343760	12,000000000
0,001344080	12,000000000
0,001344400	10,000000000
0,001344720	10,000000000
0,001345040	11,000000000
0,001345360	11,000000000
0,001345680	11,000000000
0,001346000	11,000000000
0,001346320	10,000000000
0,001346640	13,000000000
0,001346960	14,000000000
0,001347280	14,000000000
0,001347600	15,000000000
0,001347920	16,000000000
0,001348240	17,000000000
0,001348560	18,000000000
0,001348880	20,000000000
0,001349200	19,000000000
0,001349520	20,000000000
0,001349840	20,000000000
0,001350160	18,000000000
0,001350480	19,000000000
0,001350800	19,000000000
0,001351120	18,000000000
0,001351440	19,000000000
0,001351760	18,000000000
0,001352080	18,000000000
0,001352400	19,000000000
0,001352720	18,000000000
0,001353040	15,000000000
0,001353360	14,000000000
0,001353680	14,000000000
0,001354000	15,000000000
0,001354320	13,000000000
0,001354640	14,000000000
0,001354960	13,000000000
0,001355280	12,000000000
0,001355600	12,000000000
0,001355920	11,000000000
0,001356240	11,000000000
